code,display_name
SCAN_lipperMktCapAvgLatest_ASC,Market Capitalisation - Avg. Latest Asc
SCAN_lipperMktCapAvgLatest_DESC,Market Capitalisation - Avg. Latest Desc
SCAN_etfMaturity_WgtAvg_ASC,Maturity Weighted Average (AltaVista) Asc
SCAN_etfMaturity_WgtAvg_DESC,Maturity Weighted Average (AltaVista) Desc
SCAN_lipperMaximumDrawdown1yr_ASC,Max Drawdown 1Yr Asc
SCAN_lipperMaximumDrawdown1yr_DESC,Max Drawdown 1Yr Desc
SCAN_lipperMaxGain1yr_ASC,Max Gain 1Yr Asc
SCAN_lipperMaxGain1yr_DESC,Max Gain 1Yr Desc
SCAN_lipperMaxLoss1yr_ASC,Max Loss 1Yr Asc
SCAN_lipperMaxLoss1yr_DESC,Max Loss 1Yr Desc
SCAN_etfMOD_DUR_WgtAvg_ASC,Modified Duration Weighted Average (AltaVista) Asc
SCAN_etfMOD_DUR_WgtAvg_DESC,Modified Duration Weighted Average (AltaVista) Desc
MOST_ACTIVE,Most Active
MOST_ACTIVE_USD,Most Active ($)
MOST_ACTIVE_AVG_USD,Most Active (Avg $)
OPT_OPEN_INTEREST_MOST_ACTIVE,Most Active By Opt Open Interest
OPT_VOLUME_MOST_ACTIVE,Most Active By Opt Volume
SCAN_netProfitMarginTTM_ASC,Net Profit Margin(%) (Refinitiv) Asc
SCAN_netProfitMarginTTM_DESC,Net Profit Margin(%) (Refinitiv) Desc
SCAN_nextYrETFFYBVPerShare_ASC,Next Year Book Value Per Share (AltaVista) Asc
SCAN_nextYrETFFYBVPerShare_DESC,Next Year Book Value Per Share (AltaVista) Desc
SCAN_nextYrETFFYDividendYield_ASC,Next Year Dividend Yield (AltaVista) Asc
SCAN_nextYrETFFYDividendYield_DESC,Next Year Dividend Yield (AltaVista) Desc
SCAN_nextYrETFFYDPS_ASC,Next Year Dividends Per Share (AltaVista) Asc
SCAN_nextYrETFFYDPS_DESC,Next Year Dividends Per Share (AltaVista) Desc
SCAN_nextYrETFFYEPS_ASC,Next Year Earnings Per Share (AltaVista) Asc
SCAN_nextYrETFFYEPS_DESC,Next Year Earnings Per Share (AltaVista) Desc
SCAN_nextYrETFFYEPSGrowth_ASC,Next Year Earnings Per Share Growth (AltaVista) Asc
SCAN_nextYrETFFYEPSGrowth_DESC,Next Year Earnings Per Share Growth (AltaVista) Desc
SCAN_nextYrETFFYNetMargin_ASC,Next Year Net Margins Per Share (AltaVista) Asc
SCAN_nextYrETFFYNetMargin_DESC,Next Year Net Margins Per Share (AltaVista) Desc
